task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
7	c0/c50b49	1839995	FASTP (SRR4280556.fastq)	CACHED	0	2026-07-27 03:32:30.272	34.4s	33.6s	741.0%	1.3 GB	1.8 GB	648.5 MB	640.3 MB
3	1a/42ea08	1840169	FASTP (SRR4280555.fastq)	CACHED	0	2026-07-27 03:32:30.329	34.7s	33.7s	680.1%	1.3 GB	1.8 GB	604.8 MB	612 MB
16	da/496a30	1744419	FASTQC (SRR4280549.fastq)	CACHED	0	2026-07-26 02:42:18.100	57.5s	56.4s	113.9%	419.8 MB	3.6 GB	520.5 MB	1.9 MB
18	2e/b90747	1847009	FASTP (SRR4280549.fastq)	CACHED	0	2026-07-27 03:33:00.661	20.5s	19.3s	461.7%	1.3 GB	1.8 GB	529.2 MB	527.3 MB
8	91/8ef116	1744455	FASTQC (SRR4280556.fastq)	CACHED	0	2026-07-26 02:42:18.118	1m 4s	1m 3s	112.8%	419.8 MB	3.8 GB	635.7 MB	1.9 MB
4	0e/66b5c7	1744849	FASTQC (SRR4280555.fastq)	CACHED	0	2026-07-26 02:42:18.224	1m 3s	1m 2s	112.4%	491.9 MB	3.8 GB	592.1 MB	2 MB
5	60/4203ad	1840141	FASTP (SRR4280554.fastq)	CACHED	0	2026-07-27 03:32:30.322	33s	31.9s	753.3%	1.3 GB	1.8 GB	578.3 MB	573 MB
12	2f/38850f	1744918	FASTQC (SRR4280553.fastq)	CACHED	0	2026-07-26 02:42:18.243	59.3s	58s	113.8%	428.8 MB	3.6 GB	534.6 MB	1.9 MB
17	f5/4a7d6f	1840029	FASTP (SRR4280551.fastq)	CACHED	0	2026-07-27 03:32:30.288	33.9s	33s	675.4%	1.3 GB	1.8 GB	577.9 MB	583.6 MB
10	9b/12b92f	1744877	FASTQC (SRR4280550.fastq)	CACHED	0	2026-07-26 02:42:18.233	56.4s	54.9s	115.2%	419.8 MB	3.6 GB	506.6 MB	1.9 MB
11	ee/15a4fb	1745061	FASTQC (SRR4280552.fastq)	CACHED	0	2026-07-26 02:42:18.279	57.3s	55.8s	114.6%	423.3 MB	3.8 GB	497.5 MB	2 MB
14	66/5a362b	1744564	FASTQC (SRR4280551.fastq)	CACHED	0	2026-07-26 02:42:18.140	1m	59.2s	114.0%	418 MB	3.7 GB	565.1 MB	1.9 MB
6	9b/ef5e89	1744529	FASTQC (SRR4280554.fastq)	CACHED	0	2026-07-26 02:42:18.132	1m	59.2s	113.0%	419.9 MB	3.6 GB	565.6 MB	1.9 MB
9	50/b83369	1840083	FASTP (SRR4280550.fastq)	CACHED	0	2026-07-27 03:32:30.308	31.1s	30.3s	682.9%	1.3 GB	1.8 GB	519.4 MB	524.5 MB
2	05/0c382e	1840110	FASTP (SRR4280548.fastq)	CACHED	0	2026-07-27 03:32:30.313	30.4s	29.4s	675.2%	1.3 GB	1.9 GB	496.8 MB	505.3 MB
15	1b/ef3637	1840246	FASTP (SRR4280553.fastq)	CACHED	0	2026-07-27 03:32:30.344	32s	31s	734.3%	1.3 GB	1.8 GB	547.4 MB	538 MB
13	8d/efcb2a	1840064	FASTP (SRR4280552.fastq)	CACHED	0	2026-07-27 03:32:30.299	30.3s	28.2s	738.8%	1.3 GB	1.8 GB	506.3 MB	502.6 MB
1	27/177faa	1744640	FASTQC (SRR4280548.fastq)	CACHED	0	2026-07-26 02:42:18.156	56.4s	55.1s	113.1%	417.8 MB	3.6 GB	488 MB	1.9 MB
31	f2/f8dc85	1847074	FASTQC_TRIM (SRR4280552.fastq)	CACHED	0	2026-07-27 03:33:00.768	39.1s	37.9s	106.3%	426.2 MB	3.7 GB	505.7 MB	2 MB
25	0b/5f84d4	1849701	FASTQC_TRIM (SRR4280554.fastq)	CACHED	0	2026-07-27 03:33:04.195	41.9s	41.3s	104.1%	485.3 MB	3.6 GB	576 MB	1.9 MB
35	9f/d6c9b3	1847082	FASTQC_TRIM (SRR4280548.fastq)	CACHED	0	2026-07-27 03:33:00.776	39.1s	37.9s	108.5%	422.9 MB	3.8 GB	508.4 MB	2 MB
21	3d/8cc630	1848268	FASTQC_TRIM (SRR4280550.fastq)	CACHED	0	2026-07-27 03:33:02.345	40.5s	39.4s	106.2%	422.3 MB	3.8 GB	527.6 MB	1.9 MB
20	5e/bb8de4	1851233	FASTQC_TRIM (SRR4280555.fastq)	CACHED	0	2026-07-27 03:33:06.022	43.8s	43.3s	105.0%	419.1 MB	3.8 GB	615.1 MB	2 MB
34	65/40b661	1848288	FASTQC_TRIM (SRR4280553.fastq)	CACHED	0	2026-07-27 03:33:02.355	39.4s	38.5s	108.6%	420.9 MB	3.8 GB	541.1 MB	1.9 MB
24	99/c508df	1850168	FASTQC_TRIM (SRR4280551.fastq)	CACHED	0	2026-07-27 03:33:04.645	42.1s	41.4s	104.7%	484 MB	3.8 GB	586.6 MB	1.9 MB
29	8b/f06eaa	1850421	FASTQC_TRIM (SRR4280556.fastq)	CACHED	0	2026-07-27 03:33:05.015	45s	44.3s	105.4%	420.2 MB	3.8 GB	643.4 MB	1.9 MB
27	08/6097d8	1858019	FASTQC_TRIM (SRR4280549.fastq)	CACHED	0	2026-07-27 03:33:22.121	36.9s	36.3s	105.2%	459.1 MB	3.7 GB	530.4 MB	2 MB
30	86/46d861	1887479	STAR (SRR4280556.fastq)	CACHED	0	2026-07-27 03:41:41.031	3m 23s	3m 22s	709.8%	28.6 GB	29.5 GB	31.6 GB	3.3 GB
22	15/0c48ad	1868772	STAR (SRR4280550.fastq)	CACHED	0	2026-07-27 03:35:52.561	2m 52s	2m 51s	714.4%	28.6 GB	29.5 GB	31 GB	2.8 GB
23	fc/b076bc	1879210	STAR (SRR4280551.fastq)	CACHED	0	2026-07-27 03:38:51.360	3m 8s	3m 7s	708.0%	28.6 GB	29.5 GB	31.3 GB	3 GB
28	40/53f493	1898000	STAR (SRR4280549.fastq)	CACHED	0	2026-07-27 03:45:04.305	2m 40s	2m 39s	704.4%	28.6 GB	29.5 GB	31 GB	2.8 GB
33	a2/98bc79	1869735	STAR (SRR4280553.fastq)	CACHED	0	2026-07-27 03:35:58.287	2m 53s	2m 52s	711.0%	28.6 GB	29.5 GB	31 GB	2.8 GB
